;Framleiðandi;Gerð;Undirgerð;Verð;Vél;Hö;l/100 km;KM á rafmagni;Gírskipting;Drif;Sæti;
;Audi;A4 MHEV avant;45 TFSI Quattro;8.890.000;I4 2,0 l turbo mild hybrid bensín;245;6,6;;7 gíra DCT sjálfskipting;AWD;5;17
Q7;;;;;;;;;;;;
;Audi;Q7;45 TDI Quattro;11.890.000;V6 3,0 l turbo dísil;231;6,8;;8 gíra sjálfskipting;AWD;5;49
;Audi;Q7;50 TDI Quattro;12.190.000;V6 3,0 l turbo dísil;286;6,6;;8 gíra sjálfskipting;AWD;5;50
e-tron;;;;;;;;;;;;
;Audi;e-tron;50 Quattro Advanced;8.890.000;71 kWh rafhlaða, 2 rafmótorar;301;;299;1 gíra sjálfskipting;AWD;5;23
;Audi;e-tron;50 Quattro Advanced S-line;9.890.000;71 kWh rafhlaða, 2 rafmótorar;301;;299;1 gíra sjálfskipting;AWD;5;24
;Audi;e-tron;50 Quattro Basic;7.990.000;71 kWh rafhlaða, 2 rafmótorar;301;;299;1 gíra sjálfskipting;AWD;5;22
;Audi;e-tron;55 Quattro Basic;10.790.000;95 kWh rafhlaða, 2 rafmótorar;408;;418;1 gíra sjálfskipting;AWD;5;25
;Audi;e-tron;55 Quattro Design;11.990.000;95 kWh rafhlaða, 2 rafmótorar;408;;418;1 gíra sjálfskipting;AWD;5;26
;Audi;e-tron;55 Quattro Design Plus;13.990.000;95 kWh rafhlaða, 2 rafmótorar;408;;418;1 gíra sjálfskipting;AWD;5;28
;Audi;e-tron;55 Quattro Sport;12.990.000;95 kWh rafhlaða, 2 rafmótorar;408;;418;1 gíra sjálfskipting;AWD;5;27
A7 MHEV;;;;;;;;;;;;
;Audi;A7 MHEV;50 TDI Quattro;12.750.000;V6 3,0 l turbo mildur hybrid dísil;286;5,8;;8 gíra sjálfskipting;AWD;5;20
;Audi;A7 MHEV;55 TFSI Quattro;12.990.000;V6 3,0 l turbo mildur hybrid bensín;340;5,3;;8 gíra sjálfskipting;AWD;5;21
Q5 TFSI e;;;;;;;;;;;;
;Audi;Q5 TFSI e;55 TFSI e Quattro;9.890.000;I4 2,0 l turbo bensín + 14 kWh rafhlaða, rafmótor;367;2,0;40;7 gíra DCT sjálfskipting;AWD;5;48
X1;;;;;;;;;;;;
;BMW;X1;18d;5.990.000;I4 2,0 l twin turbo dísil;150;5,4;;8 gíra sjálfskipting;FWD;5;64
;BMW;X1;xDrive18d;6.990.000;I4 2,0 l twin turbo dísil;150;5,8;;8 gíra sjálfskipting;RWD;5;65
2 series Active Tourer iPerformance;;;;;;;;;;;;
;BMW;2 series Active Tourer iPerformance;225xe Exclusive;6.350.000;I3 1,5 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;224;1,7;52;6 gíra sjálfskipting;AWD;5;52
;BMW;2 series Active Tourer iPerformance;225xe Luxury Line;6.790.000;I3 1,5 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;224;1,7;52;6 gíra sjálfskipting;AWD;5;53
;BMW;2 series Active Tourer iPerformance;225xe Sport;5.890.000;I3 1,5 l twin turbo bensín + 10 kWh rafhlaða, rafmótor;224;1,7;52;6 gíra sjálfskipting;AWD;5;51
3 series sedan;;;;;;;;;;;;
;BMW;3 series sedan;320d;6.490.000;I4 2,0 l twin turbo dísil;190;4,5;;8 gíra sjálfskipting;RWD;5;54
;BMW;3 series sedan;320d xDrive;7.190.000;I4 2,0 l twin turbo dísil;190;4,8;;8 gíra sjálfskipting;AWD;5;55
5 series mild hybrid;;;;;;;;;;;;
;BMW;5 series mild hybrid;520d;8.570.000;I4 2,0 l twin turbo mild hybrid dísil;190;4,5;;8 gíra sjálfskipting;RWD;5;56
;BMW;5 series mild hybrid;520d xDrive;9.790.000;I4 2,0 l twin turbo mild hybrid dísil;190;5,1;;8 gíra sjálfskipting;AWD;5;57
5 series;;;;;;;;;;;;
;BMW;5 series;530d xDrive;11.490.000;I6 3,0 l twin turbo dísil;265;5,6;;8 gíra sjálfskipting;AWD;5;58
5 series iPerformance;;;;;;;;;;;;
