;Framleiðandi;Gerð;Undirgerð;Verð;Vél;Hö;l/100 km;KM á rafmagni;Gírskipting;Drif;Sæti;
;Ford;Mondeo liftback;Titanium 2,0 TDCi 150 hp manual;4.590.000;I4 2,0 l turbo dísil;150;4,8;;6 gíra beinskipting;FWD;5;171
;Ford;Mondeo liftback;Titanium AWD 2,0 TDCi 180 hp automatic;6.750.000;I4 2,0 l turbo dísil;180;5,1;;8 gíra sjálfskipting;AWD;5;173
Mondeo station;;;;;;;;;;;;
;Ford;Mondeo station;Titanium 1,5 EcoBoost 165 hp automatic;5.070.000;I4 1,5 l turbo bensín;165;7,4;;6 gíra sjálfskipting;FWD;5;175
;Ford;Mondeo station;Titanium 1,5 EcoBoost 165 hp manual;4.670.000;I4 1,5 l turbo bensín;165;6,6;;6 gíra beinskipting;FWD;5;174
;Ford;Mondeo station;Titanium 2,0 TDCi 150 hp automatic;5.170.000;I4 2,0 l turbo dísil;150;5,0;;8 gíra sjálfskipting;FWD;5;177
;Ford;Mondeo station;Titanium 2,0 TDCi 150 hp manual;4.770.000;I4 2,0 l turbo dísil;150;4,8;;6 gíra beinskipting;FWD;5;176
;Ford;Mondeo station;Titanium AWD 2,0 TDCi 180 hp automatic;6.930.000;I4 2,0 l turbo dísil;180;5,1;;8 gíra sjálfskipting;AWD;5;178
Puma;;;;;;;;;;;;
;Ford;Puma;Titanium automatic;4.130.000;I3 1,0 l turbo bensín;125;5,7;;6 gíra sjálfskipting;FWD;5;181
;Ford;Puma;Titanium X automatic;4.330.000;I3 1,0 l turbo bensín;125;5,7;;6 gíra sjálfskipting;FWD;5;183
Galaxy;;;;;;;;;;;;
;Ford;Galaxy;Titanium automatic;7.090.000;I4 2,0 l turbo dísil;150;5,4;;6 gíra DCT sjálfskipting;FWD;7;164
;Ford;Galaxy;Titanium manual;6.390.000;I4 2,0 l turbo dísil;150;5,4;;6 gíra DCT sjálfskipting;FWD;7;163
Kuga;;;;;;;;;;;;
;Ford;Kuga;Titanium AWD;6.090.000;I4 2,0 l turbo dísil;190;4,9;;8 gíra sjálfskipting;AWD;5;
;Ford;Kuga;Titanium X AWD;6.390.000;I4 2,0 l turbo dísil;190;4,9;;8 gíra sjálfskipting;AWD;5;
;Ford;Kuga;Vignale AWD;6.890.000;I4 2,0 l turbo dísil;190;4,9;;8 gíra sjálfskipting;AWD;5;
Puma mild hybrid;;;;;;;;;;;;
;Ford;Puma mild hybrid;Titanium manual;3.710.000;I3 1,0 turbo mild hybrid bensín;125;5,6;;6 gíra beinskipting;FWD;5;180
;Ford;Puma mild hybrid;Titanium X manual;3.910.000;I3 1,0 l turbo mild hybrid bensín;125;5,6;;6 gíra beinskipting;FWD;5;182
Civic 5 door;;;;;;;;;;;;
;Honda;Civic 5 door;Comfort;3.790.000;I3 1,0 l turbo bensín;129;4,8;;6 gíra beinskipting;FWD;5;187
;Honda;Civic 5 door;Comfort automatic;3.990.000;I3 1,0 l turbo bensín;129;4,7;;1 gíra CVT sjálfskipting;FWD;5;187
;Honda;Civic 5 door;Elegance automatic;4.390.000;I3 1,0 l turbo bensín;129;4,7;;1 gíra CVT sjálfskipting;FWD;5;186
;Honda;Civic 5 door;Executive automatic;4.390.000;I3 1,0 l turbo bensín;129;4,7;;1 gíra CVT sjálfskipting;FWD;5;186
Jazz;;;;;;;;;;;;
;Honda;Jazz;Comfort;3.790.000;I4 1,5 l hybrid bensín;109;4,5;;1 gíra CVT sjálfskipting;FWD;5;203
;Honda;Jazz;Crosstar Executive;4.490.000;I4 1,5 l hybrid bensín;109;4,8;;1 gíra CVT sjálfskipting;FWD;5;201
;Honda;Jazz;Elegance;3.990.000;I4 1,5 l hybrid bensín;109;4,5;;1 gíra CVT sjálfskipting;FWD;5;
;Honda;Jazz;Executive;4.250.000;I4 1,5 l hybrid bensín;109;4,5;;1 gíra CVT sjálfskipting;FWD;5;
e;;;;;;;;;;;;
;Honda;e;e;4.290.000;36 kWh rafhlaða, rafmótor;136;;220;1 gíra sjálfskipting;RWD;4;196
;Honda;e;e Advance;5.490.000;36 kWh rafhlaða, rafmótor;154;;220;1 gíra sjálfskipting;RWD;4;197
HR-V;;;;;;;;;;;;
;Honda;HR-V;Elegance;4.690.000;I4 1,5 l bensín;130;5,3;;1 gíra CVT sjálfskipting;FWD;5;198
;Honda;HR-V;Executive;5.190.000;I4 1,5 l bensín;130;5,3;;1 gíra CVT sjálfskipting;FWD;5;199
CR-V hybrid;;;;;;;;;;;;
;Honda;CR-V hybrid;Elegance;6.990.000;I4 2,0 l hybrid bensín 4WD;184;5,5;;1 gíra CVT sjálfskipting;AWD;5;193
;Honda;CR-V hybrid;Elegance;6.990.000;I4 2,0 l hybrid bensín;184;5,3;;1 gíra CVT sjálfskipting;AWD;5;193
;Honda;CR-V hybrid;Executive;7.990.000;I4 2,0 l hybrid bensín 4WD;184;5,5;;1 gíra CVT sjálfskipting;AWD;5;195
;Honda;CR-V hybrid;Lifestyle;7.490.000;I4 2,0 l hybrid bensín 4WD;184;5,5;;1 gíra CVT sjálfskipting;AWD;5;194
CR-V;;;;;;;;;;;;
;Honda;CR-V;Executive;7.590.000;I4 1,5 l turbo bensín 4WD;193;7,1;;1 gíra CVT sjálfskipting;AWD;5;192
Nexo;;;;;;;;;;;;
;Hyundai;Nexo;Blue;6.900.000;Vetnisrafall, rafmótor;163;;666;1 gíra sjálfskipting;FWD;5;225
i30 hatchback;;;;;;;;;;;;
;Hyundai;i30 hatchback;Classic;3.750.000;I3 1,0 l turbo bensín;120;4,9;;6 gíra beinskipting;FWD;5;210
;Hyundai;i30 hatchback;Comfort;4.550.000;I4 1,4 l turbo bensín;140;5,5;;7 gíra DCT sjálfskipting;FWD;5;211
i30 wagon;;;;;;;;;;;;
;Hyundai;i30 wagon;Classic;4.090.000;I3 1,0 l turbo bensín;120;4,9;;6 gíra beinskipting;FWD;5;212
;Hyundai;i30 wagon;Comfort;4.850.000;I4 1,4 l turbo bensín;140;5,5;;7 gíra DCT sjálfskipting;FWD;5;213
Tucson;;;;;;;;;;;;
;Hyundai;Tucson;Classic;5.690.000;I4 1,6 l turbo bensín;136;5,2;;7 gíra DCT sjálfskipting;AWD;5;229
;Hyundai;Tucson;Comfort;6.390.000;I4 1,6 l turbo bensín;136;5,2;;7 gíra DCT sjálfskipting;AWD;5;230
;Hyundai;Tucson;Premium;7.090.000;I4 1,6 l turbo bensín;136;5,2;;7 gíra DCT sjálfskipting;AWD;5;233
;Hyundai;Tucson;Style;6.790.000;I4 1,6 l turbo bensín;136;5,2;;7 gíra DCT sjálfskipting;AWD;5;231
i20;;;;;;;;;;;;
;Hyundai;i20;Classic 1,2;2.590.000;I4 1,2 l bensín;75;5,7;;5 gíra beinskipting;FWD;5;206
;Hyundai;i20;Comfort 1,0T;3.350.000;I3 1,0 l turbo bensín;100;5,0;;7 gíra DCT sjálfskipting;FWD;5;208
;Hyundai;i20;Style 1,0T;3.450.000;I3 1,0 l turbo bensín;100;5,0;;7 gíra DCT sjálfskipting;FWD;5;209
;Hyundai;i20;Style 1,2;2.990.000;I4 1,2 l bensín;75;5,7;;5 gíra beinskipting;FWD;5;207
i10;;;;;;;;;;;;
;Hyundai;i10;Classic automatic;2.450.000;I3 1,0 l bensín;66;5,6;;4 gíra sjálfskiptur;FWD;5;
;Hyundai;i10;Classic manual;2.350.000;I3 1,0 l bensín;66;5,1;;5 gíra beinskipting;FWD;5;
;Hyundai;i10;Comfort automatic;2.650.000;I3 1,0 l bensín;66;5,6;;4 gíra sjálfskiptur;FWD;5;205
;Hyundai;i10;Comfort manual;2.550.000;I3 1,0 l bensín;66;5,1;;5 gíra beinskipting;FWD;5;204
;Hyundai;i10;Style automatic;2.990.000;I3 1,0 l bensín;66;5,6;;4 gíra sjálfskiptur;FWD;5;
;Hyundai;I10;Style manual;2.890.000;I3 1,0 l bensín;66;5,1;;5 gíra beinskipting;FWD;5;
Ioniq plug-in hybrid;;;;;;;;;;;;
;Hyundai;Ioniq plug-in hybrid;Comfort;4.590.000;I4 1,6 l bensín + 9 kWh rafhlaða, rafmótor;141;1,1;63;6 gíra DCT sjálfskipting;FWD;5;216
;Hyundai;Ioniq plug-in hybrid;Style;4.790.000;I4 1,6 l bensín + 9 kWh rafhlaða, rafmótor;141;1,1;63;6 gíra DCT sjálfskipting;FWD;5;217
Ioniq electric;;;;;;;;;;;;
;Hyundai;Ioniq electric;Comfort;4.890.000;38 kWh rafhlaða, rafmótor;136;;311;1 gíra sjálfskipting;FWD;5;214
;Hyundai;Ioniq electric;Style;5.290.000;38 kWh rafhlaða, rafmótor;136;;311;1 gíra sjálfskipting;FWD;5;215
Kona hybrid;;;;;;;;;;;;
;Hyundai;Kona hybrid;Comfort;4.990.000;I4 1,6 l hybrid bensín;137;4,3;;6 gíra DCT sjálfskipting;FWD;5;222
Kona EV;;;;;;;;;;;;
;Hyundai;Kona EV;Comfort;5.290.000;39 kWh rafhlaða, rafmótor;136;;289;1 gíra sjálfskipting;FWD;5;223
;Hyundai;Kona EV;Premium;5.990.000;64 kWh rafhlaða, rafmótor;204;;449;1 gíra sjálfskipting;FWD;5;224
Tucson mild hybrid;;;;;;;;;;;;
;Hyundai;Tucson mild hybrid;Comfort;6.490.000;I6 1,6 l turbo mild hybrid bensín;136;4,9;;7 gíra DCT sjálfskipting;AWD;5;234
;Hyundai;Tucson mild hybrid;Premium;7.190.000;I6 1,6 l turbo mild hybrid bensín;136;4,9;;7 gíra DCT sjálfskipting;AWD;5;
;Hyundai;Tucson mild hybrid;Style;6.890.000;I6 1,6 l turbo mild hybrid bensín;136;4,9;;7 gíra DCT sjálfskipting;AWD;5;
Santa Fe;;;;;;;;;;;;
;Hyundai;Santa Fe;Comfort;7.990.000;I4 2,2 l turbo dísil;200;6,3;;8 gíra sjálfskipting;AWD;5/7;226
;Hyundai;Santa Fe;Premium;9.190.000;I4 2,2 l turbo dísil;200;6,3;;8 gíra sjálfskipting;AWD;5/7;228
;Hyundai;Santa Fe;Style;8.790.000;I4 2,2 l turbo dísil;200;6,3;;8 gíra sjálfskipting;AWD;5/7;227
Kona;;;;;;;;;;;;
;Hyundai;Kona;Comfort 4WD;5.290.000;I4 1,6 l turbo bensín;177;5,4;;7 gíra DCT sjálfskipting;AWD;5;219
;Hyundai;Kona;Premium 4WD;5.990.000;I4 1,6 l turbo bensín;177;5,4;;7 gíra DCT sjálfskipting;AWD;5;221
XF;;;;;;;;;;;;
;Jaguar;XF;20d;7.690.000;I4 2,0 l turbo dísil;180;5,2;;8 gíra sjálfskipting;RWD;5;302
F-type coupe;;;;;;;;;;;;
;Jaguar;F-type coupe;400 Sport 3,0 supercharged AWD;21.790.000;V6 3,0 l supercharged bensín;400;8,9;;8 gíra sjálfskipting;AWD;2;293
;Jaguar;F-type coupe;400 Sport 3,0 supercharged RWD;20.590.000;V6 3,0 l supercharged bensín;400;8,6;;8 gíra sjálfskipting;RWD;2;292
;Jaguar;F-type coupe;R-Dynamic 2,0 turbo RWD;11.790.000;I4 2,0 l turbo bensín;300;7,2;;8 gíra sjálfskipting;RWD;2;289
;Jaguar;F-type coupe;R-Dynamic 3,0 supercharged AWD;19.590.000;V6 3,0 l supercharged bensín;380;8,9;;8 gíra sjálfskipting;AWD;2;291
;Jaguar;F-type coupe;R-dynamic 3,0 supercharged RWD;18.290.000;V6 3,0 l supercharged bensín;380;8,6;;8 gíra sjálfskipting;RWD;2;290
;Jaguar;F-type coupe;Standard 2,0 l  turbo RWD;10.990.000;I4 2,0 l turbo bensín;300;7,2;;8 gíra sjálfskipting;RWD;2;287
;Jaguar;F-type coupe;Standard 3,0 l supercharged RWD;13.790.000;V6 3,0 l supercharged bensín;340;8,4;;8 gíra sjálfskipting;RWD;2;288
F-type convertible;;;;;;;;;;;;
;Jaguar;F-type convertible;400 Sport 3,0 turbo AWD;23.090.000;V6 3,0 l supercharged bensín;400;8,9;;8 gíra sjálfskipting;AWD;2;286
;Jaguar;F-type convertible;400 Sport 3,0 turbo RWD;21.990.000;V6 3,0 l supercharged bensín;400;8,6;;8 gíra sjálfskipting;RWD;2;285
;Jaguar;F-type convertible;R-Dynamic 2,0 turbo RWD;12.890.000;I4 2,0 l turbo bensín;300;7,2;;8 gíra sjálfskipting;RWD;2;282
;Jaguar;F-type convertible;R-Dynamic 3,0 turbo AWD;20.790.000;V6 3,0 l supercharged bensín;380;8,9;;8 gíra sjálfskipting;AWD;2;284
;Jaguar;F-type convertible;R-dynamic 3,0 turbo RWD;19.790.000;V6 3,0 l supercharged bensín;380;8,6;;8 gíra sjálfskipting;RWD;2;283
;Jaguar;F-type convertible;Standard 2,0 l  turbo RWD;12.090.000;I4 2,0 l turbo bensín;300;7,2;;8 gíra sjálfskipting;RWD;2;280
;Jaguar;F-type convertible;Standard 3,0 l turbo RWD;14.990.000;V6 3,0 l supercharged bensín;340;8,4;;8 gíra sjálfskipting;RWD;2;281
XE;;;;;;;;;;;;
;Jaguar;XE;D180;6.890.000;I4 2,0 l turbo dísil;180;4,9;;8 gíra sjálfskipting;RWD;5;301
I-Pace;;;;;;;;;;;;
;Jaguar;I-Pace;HSE;12.990.000;90 kWh rafhlaða, 2 rafmótorar;400;;470;1 gíra sjálfskipting;AWD;5;300
;Jaguar;I-Pace;S;10.590.000;90 kWh rafhlaða, 2 rafmótorar;400;;470;1 gíra sjálfskipting;AWD;5;298
;Jaguar;I-Pace;SE;11.790.000;90 kWh rafhlaða, 2 rafmótorar;400;;470;1 gíra sjálfskipting;AWD;5;299
E-Pace;;;;;;;;;;;;
;Jaguar;E-Pace;HSE D150;9.590.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;245
;Jaguar;E-Pace;HSE D180;9.890.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;246
;Jaguar;E-Pace;HSE D240;10.890.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;247
;Jaguar;E-Pace;HSE P300;11.990.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;248
;Jaguar;E-Pace;R-Dynamci SE P300;11.540.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;258
;Jaguar;E-Pace;R-Dynamic D150;7.640.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;249
;Jaguar;E-Pace;R-Dynamic D180;8.040.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;250
;Jaguar;E-Pace;R-Dynamic HSE D150;10.040.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;259
;Jaguar;E-Pace;R-Dynamic HSE D180;10.340.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;260
;Jaguar;E-Pace;R-Dynamic HSE D240;11.340.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;261
;Jaguar;E-Pace;R-Dynamic HSE P300;12.440.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;262
;Jaguar;E-Pace;R-Dynamic S D150;8.540.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;251
;Jaguar;E-Pace;R-Dynamic S D180;8.840.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;252
;Jaguar;E-Pace;R-Dynamic S D240;9.840.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;253
;Jaguar;E-Pace;R-Dynamic S P300;10.840.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;254
;Jaguar;E-Pace;R-Dynamic SE D150;9.140.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;255
;Jaguar;E-Pace;R-Dynamic SE D180;9.540.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;256
;Jaguar;E-Pace;R-Dynamic SE D240;10.540.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;257
;Jaguar;E-Pace;S D150;8.090.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;237
;Jaguar;E-Pace;S D180;8.390.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;238
;Jaguar;E-Pace;S D240;9.390.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;239
;Jaguar;E-Pace;S P300;10.390.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;240
;Jaguar;E-Pace;SE D150;8.690.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;241
;Jaguar;E-Pace;SE D180;9.090.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;242
;Jaguar;E-Pace;SE D240;10.090.000;I4 2,0 l turbo dísil;240;6,2;;9 gíra sjálfskipting;AWD;5;243
;Jaguar;E-Pace;SE P300;11.090.000;I4 2,0 l twin turbo bensín;300;8,0;;9 gíra sjálfskipting;AWD;5;244
;Jaguar;E-Pace;Standard D150;7.190.000;I4 2,0 l turbo dísil;150;5,6;;9 gíra sjálfskipting;AWD;5;235
;Jaguar;E-Pace;Standard D180;7.590.000;I4 2,0 l turbo dísil;180;5,6;;9 gíra sjálfskipting;AWD;5;236
XJ;;;;;;;;;;;;
;Jaguar;XJ;Luxury 3,0 V6 diesel turbo RWD;13.990.000;V6 3,0 l turbo dísil;300;5,3;;8 gíra sjálfskipting;RWD;5;303
;Jaguar;XJ;Portfolio 3,0 V6 diesel turbo RWD;16.490.000;V6 3,0 l turbo dísil;300;5,3;;8 gíra sjálfskipting;RWD;5;306
;Jaguar;XJ;Portfolio 3,0 V6 petrol supercharged AWD;22.790.000;V6 3,0 l supercharged bensín;340;9,8;;8 gíra sjálfskipting;AWD;5;307
;Jaguar;XJ;Premium Luxury 3,0 V6 diesel turbo RWD;14.290.000;V6 3,0 l turbo dísil;300;5,3;;8 gíra sjálfskipting;RWD;5;304
;Jaguar;XJ;Premium Luxury 3,0 V6 petrol supercharged AWD;20.590.000;V6 3,0 l supercharged bensín;340;9,8;;8 gíra sjálfskipting;AWD;5;305
;Jaguar;XJ;R-Sport 3,0 V6 diesel turbo RWD;16.490.000;V6 3,0 l turbo dísil;300;5,3;;8 gíra sjálfskipting;RWD;5;308
;Jaguar;XJ;R-Sport 3,0 V6 petrol supercharged AWD;22.590.000;V6 3,0 l supercharged bensín;340;9,8;;8 gíra sjálfskipting;AWD;5;309
F-Pace;;;;;;;;;;;;
;Jaguar;F-Pace;Pure 2,0 I4 diesel turbo;8.390.000;I4 2,0 l turbo dísil;180;5,9;;8 gíra sjálfskipting;AWD;5;263
;Jaguar;F-Pace;Pure 2,0 I4 diesel turbo;9.290.000;I4 2,0 l turbo dísil;180;5,9;;8 gíra sjálfskipting;AWD;5;267
;Jaguar;F-Pace;Pure 2,0 I4 diesel turbo;9.690.000;I4 2,0 l turbo dísil;180;5,9;;8 gíra sjálfskipting;AWD;5;275
;Jaguar;F-Pace;Pure 2,0 I4 diesel turbo;9.890.000;I4 2,0 l turbo dísil;180;5,9;;8 gíra sjálfskipting;AWD;5;271
;Jaguar;F-Pace;Pure 2,0 I4 diesel twin turbo;9.590.000;I4 2,0 l twin turbo dísil;240;6,5;;8 gíra sjálfskipting;AWD;5;264
;Jaguar;F-Pace;Pure 2,0 I4 diesel twin turbo;10.390.000;I4 2,0 l twin turbo dísil;240;6,5;;8 gíra sjálfskipting;AWD;5;268
;Jaguar;F-Pace;Pure 2,0 I4 diesel twin turbo;10.890.000;I4 2,0 l twin turbo dísil;240;6,5;;8 gíra sjálfskipting;AWD;5;276
;Jaguar;F-Pace;Pure 2,0 I4 diesel twin turbo;10.990.000;I4 2,0 l twin turbo dísil;240;6,5;;8 gíra sjálfskipting;AWD;5;272
;Jaguar;F-Pace;Pure 2,0 I4 petrol turbo;10.090.000;I4 2,0 l turbo bensín;300;8,3;;8 gíra sjálfskipting;AWD;5;266
;Jaguar;F-Pace;Pure 2,0 I4 petrol turbo;10.990.000;I4 2,0 l turbo bensín;300;8,3;;8 gíra sjálfskipting;AWD;5;270
;Jaguar;F-Pace;Pure 2,0 I4 petrol turbo;11.490.000;I4 2,0 l turbo bensín;300;8,3;;8 gíra sjálfskipting;AWD;5;278
;Jaguar;F-Pace;Pure 2,0 I4 petrol turbo;11.590.000;I4 2,0 l turbo bensín;300;8,3;;8 gíra sjálfskipting;AWD;5;274
;Jaguar;F-Pace;Pure 3,0 I6 diesel turbo;10.590.000;I6 3,0 l turbo dísil;300;6,5;;8 gíra sjálfskipting;AWD;5;265
;Jaguar;F-Pace;Pure 3,0 I6 diesel turbo;11.490.000;I6 3,0 l turbo dísil;300;6,5;;8 gíra sjálfskipting;AWD;5;269
;Jaguar;F-Pace;Pure 3,0 I6 diesel turbo;11.890.000;I6 3,0 l turbo dísil;300;6,5;;8 gíra sjálfskipting;AWD;5;277
;Jaguar;F-Pace;Pure 3,0 I6 diesel turbo;12.090.000;I6 3,0 l turbo dísil;300;6,5;;8 gíra sjálfskipting;AWD;5;273
;Jaguar;F-Pace;Pure 3,0 I6 diesel turbo;13.190.000;I6 3,0 l turbo dísil;300;6,5;;8 gíra sjálfskipting;AWD;5;279
XJR;;;;;;;;;;;;
;Jaguar;XJR;R 5,0 l petrol supercharged RWD;29.390.000;V6 3,0 l supercharged bensín;575;11,1;;8 gíra sjálfskipting;RWD;5;310
F-type R coupe;;;;;;;;;;;;
;Jaguar;F-type R coupe;R 5,0 l supercharged AWD;25.390.000;V8 5,0 l supercharged bensín;550;11,3;;8 gíra sjálfskipting;AWD;2;295
F-type R convertible;;;;;;;;;;;;
;Jaguar;F-type R convertible;R 5,0 l supercharged AWD;26.890.000;V8 5,0 l supercharged bensín;550;11,3;;8 gíra sjálfskipting;AWD;2;294
F-type SVR coupe;;;;;;;;;;;;
;Jaguar;F-type SVR coupe;SVR 5,0 l supercharged AWD;30.190.000;V8 5,0 l supercharged bensín;575;11,3;;8 gíra sjálfskipting;AWD;2;297
F-type SVR convertible;;;;;;;;;;;;
;Jaguar;F-type SVR convertible;SVR 5,0 l supercharged AWD;31.690.000;V8 5,0 l supercharged bensín;575;11,3;;8 gíra sjálfskipting;AWD;2;296
Renegade;;;;;;;;;;;;
;Jeep;Renegade;Limited;5.890.000;I4 2,0 l turbo dísil;140;6,3;;9 gíra sjálfskipting;AWD;5;317
;Jeep;Renegade;Longitude;4.390.000;I4 2,0 l turbo dísil;140;5,5;;6 gíra beinskipting;AWD;5;316
;Jeep;Renegade;Trailhawk;5.970.000;I4 2,0 l turbo dísil;170;6,6;;9 gíra sjálfskipting;AWD;5;318
Compass 4Xe;;;;;;;;;;;;
;Jeep;Compass 4Xe;Limited;5.999.000;I4 1,3 l turbo bensín + 13 kWh rafhlaða, rafmótor;190;1,9;50;6 gíra DCT sjálfskipting;AWD;5;
;Jeep;Compass 4Xe;S;6.599.000;I4 1,3 l turbo bensín + 13 kWh rafhlaða, rafmótor;240;2,0;50;6 gíra DCT sjálfskipting;AWD;5;
;Jeep;Compass 4Xe;Trailhawk;4.999.000;I4 1,3 l turbo bensín + 13 kWh rafhlaða, rafmótor;240;2,0;50;6 gíra DCT sjálfskipting;AWD;5;
Compass;;;;;;;;;;;;
;Jeep;Compass;Limited;6.550.000;I4 2,0 l turbo dísil;140;6,3;;9 gíra sjálfskipting;AWD;5;313
Cherokee;;;;;;;;;;;;
;Jeep;Cherokee;Overland;12.390.000;I4 2,2 l turbo dísil;195;5,7;;9 gíra sjálfskipting;AWD;5;311
;Jeep;Cherokee;Overland security pack + Harman Kardon;12.990.000;I4 2,2 l turbo dísil;195;5,7;;9 gíra sjálfskipting;AWD;5;311
;Jeep;Cherokee;Trailhawk;11.690.000;I4 2,2 l turbo dísil;195;6,9;;9 gíra sjálfskipting;AWD;5;312
;Jeep;Cherokee;Trailhawk Panorama;11.990.000;I4 2,2 l turbo dísil;195;5,7;;9 gíra sjálfskipting;AWD;5;311
Grand Cherokee;;;;;;;;;;;;
;Jeep;Grand Cherokee;Overland;12.490.000;V6 3,0 l turbo dísil;250;7,0;;8 gíra sjálfskipting;AWD;5;315
;Jeep;Grand Cherokee;Trailhawk;11.490.000;V6 3,0 l turbo dísil;250;7,0;;8 gíra sjálfskipting;AWD;5;314
Wrangler;;;;;;;;;;;;
;Jeep;Wrangler;Rubicon 2,0 petrol;10.990.000;I4 2,0 l turbo bensín;232;10,0;;8 gíra sjálfskipting;AWD;5;319
;Jeep;Wrangler;Rubicon 2,0 petrol;12.790.000;I4 2,0 l turbo bensín;232;10,0;;8 gíra sjálfskipting;AWD;5;319
;Jeep;Wrangler;Rubicon 2,2 diesel;13.370.000;I4 2,2 l dísil;200;7,7;;8 gíra sjálfskipting;AWD;5;320
Renegade 4Xe;;;;;;;;;;;;
;Jeep;Renegade 4Xe;Trailhawk;5.499.000;I4 1,3 l turbo bensín + 11 kWh rafhlaða, rafmótor;240;2,0;50;6 gíra DCT sjálfskipting;AWD;5;
Rio;;;;;;;;;;;;
;Kia;Rio;Classic;2.990.777;I3 1,0 l turbo bensín;100;4,1;;5 gíra beinskipting;FWD;5;350
;Kia;Rio;GT Line;4.050.777;I3 1,0 l turbo bensín;120;5,1;;7 gíra sjálfskipting;FWD;5;353
;Kia;Rio;Style;3.650.777;I3 1,0 l turbo bensín;120;5,1;;7 gíra sjálfskipting;FWD;5;352
;Kia;Rio;Urban;3.390.777;I3 1,0 l turbo bensín;120;5,1;;7 gíra sjálfskipting;FWD;5;351
Ceed 5 door;;;;;;;;;;;;
;Kia;Ceed 5 door;Classic;3.690.777;I3 1,0 l turbo bensín;120;5,5;;6 gíra beinskipting;FWD;5;321
;Kia;Ceed 5 door;Style;4.890.777;I4 1,4 l turbo bensín;140;5,7;;7 gíra DCT sjálfskipting;FWD;5;323
;Kia;Ceed 5 door;Urban;4.390.777;I4 1,4 l turbo bensín;140;5,7;;7 gíra DCT sjálfskipting;FWD;5;322
Ceed sportswagon;;;;;;;;;;;;
;Kia;Ceed sportswagon;Classic;3.890.777;I3 1,0 l turbo bensín;120;5,5;;6 gíra beinskipting;FWD;5;326
;Kia;Ceed sportswagon;Urban;4.590.777;I4 1,4 l turbo bensín;141;5,7;;7 gíra DCT sjálfskipting;FWD;5;327
Picanto;;;;;;;;;;;;
;Kia;Picanto;Classic 1,0;2.190.777;I3 1,0 l bensín;67;4,2;;5 gíra beinskipting;FWD;5;343
;Kia;Picanto;GT Line 1,0;2.990.777;I3 1,0 l turbo bensín;100;4,5;;5 gíra beinskipting;FWD;5;347
;Kia;Picanto;Style 1,0;2.590.777;I3 1,0 l bensín;67;4,2;;5 gíra beinskipting;FWD;5;345
;Kia;Picanto;Style 1,2;2.890.777;I4 1,2 l bensín;84;5,4;;6 gíra sjálfskipting;FWD;5;346
;Kia;Picanto;Urban 1,0;2.390.777;I3 1,0 l bensín;67;4,2;;5 gíra beinskipting;FWD;5;344
Optima plug-in hybrid 4-door;;;;;;;;;;;;
;Kia;Optima plug-in hybrid 4-door;EX;5.250.777;I4 2,0 l bensín + 10 kWh rafhlaða, rafmótor;205;2,3;58;6 gíra sjálfskipting;FWD;5;338
;Kia;Optima plug-in hybrid 4-door;Luxury;5.590.777;I4 2,0 l bensín + 10 kWh rafhlaða, rafmótor;205;2,3;58;6 gíra sjálfskipting;FWD;5;339
Optima plug-in hybrid sportswagon;;;;;;;;;;;;
